compra,clase
adhesivo mayon,4
cerveza el lata,1
pasaje en avión santiago balmaceda,5
pasaje ida y vuelta cqob la serena,5
reparación de rueda,5
zapatilla de levantarse mujer,2
combustible 95 octanos,5
2 cajas de medicamento para bajar la presión arterial propanolol,4
de cerveza botella,1
vasos de 350ml,3
servilleta nova 50 und,3
ají pasta frasco,0
accesorio celular carcasa,6
espiron para síndrome de asperger,4
marraquetas pan corriente granel,0
reparación de zapatos,2
chalecos de mujer nuevas,2
radiador automotivil,5
pasaje cerroplan micro,5
medicamentos adalat oros para presión alta,4
ampolletas foco derecho automóvil,5
carne molida espec,0
pasaje padre hurtado santiago,5
pares zapatillas de hombare,2
limpiador anti hongo,3
pasaje colectivo línea 110,5
sweater mujer tabla 6,2
examenes de diabetes niño,4
bolsa de filtros 120 unidades,1
examen alergia cutánea,4
ensaladera cuadrada,3
ajuste completo de motor,5
jaleas soprole 100 gr cada una,0
ric limón,3
harina blanca 4 bolsas,0
pasaje ida y vuelta serenacoquimbo micro,5
carga bip marido,5
cera nugget 340 cc,3
pago de reparación ropa,2
detergente para ropa omo matic,3
poleras micro,2
alusa chica,3
fleet remedio,4
cif crema limpiador de cocina,3
poleras varón manga corta,2
repuesto de luces,5
caja de 30 comprimidos clotiazepan,4
par botines de mujer,2
margarina pan de ilegible,0
cortina plástica de baño,3
caltrate calcio para los huesos,4
vino manquehuito en botella,1
snack mix envasado,0
dentista revisión periódica,4
galletas tuareg,0
yogurt tradicional gold,0
disco para piedra diámetro 45,3
jugo livean en polvo de manzana 7 grs cu,0
jeans con cortés hombre,2
suzuki swift dzire,5
huevos gallina granel,0
medidor monofosi medida,3
manzana royal a granel,0
bus urbano,5
jabón popeye matic,3
carga pase escolar hija,5
recarga telefónica hija emilia,6
toalla de papel 25 mt cu,3
cerv cusqueña botella 3x1190,1
consulta al gastronterologo,4
calcetines mujer,2
cera crema para piso,3
vasos cumpleaños colores,3
carne vacuno asiento,0
pechuga de pollo deshuesada envasada,0
aspirina caja dolor de cabeza,4
sandalias de mujer pares,2
vino tinto caja tocornal,1
botellas champagne brut,1
gorro niña,2
multiuso,3
set 6 colgadores plasticos,3
pan especial anís,0
delantal escolar,2
medicamentos hipertensión diabetes,4
cajetilla de 10 und de cigarros,1
neumático de auto,5
ampolleta refrigerador freezer 15w,3
reparación zapatos,2
sabana y almohada,3
ampolletas auto,5
par de guantes plasticos,3
toalla nova x 3rollos papel absorvente,3
buzo del niño de 5 años,2
caja trimebutina 100 mg x 20 comprimidos analgésico estomacal,4
polar print,2
pollo apañado congelado 90 grs cu envasado,0
vestuario varios,2
pate sq sj,0
sillones de un cuerpo,3
cambio de aceite mantención,5
pasaje la serena coquimbo,5
posicllos losa,3
remedios artritis trigliceridos,4
pantalón mujer mezclilla,2
pastillas para estanque,3
automóvil sedan nissan sentra v16,5
removedor de manchas para ropa líquido,3
jeringa médica,4
galleta nik con relleno,0
zapato goma eva,2
pasaje local,5
pan pita integral envasado,0
bolsa para basura grande,3
pack 4 servilletas elite coctel,3
vino 120 santa rita,1
locomoción de micro,5
brazo de reina granel porciones,0
prendas de vestir interior calzones,2
herramienta eléctrica de carpintería multifuncional caladora taladro,3
bolsa lider calan,0
mistral ice dry bebida alcohólica,1
panes de manteca,0
litio,4
zapatilla lona joven hombre,2
terapia de biomagnetismo,4
zanahorias crudas frescas,0
cargador portátil para celular,6
cajetilla cigarrillos 20 un,1
pasaje la floridasan jose de maipo,5
cecina jamón sandwich san jorge,0
ropa variada hombre poleras pantalones short,2
zapallo comote minuto verde congelado,0
hyundai accent 2003,5
toalla nova 2 rollos,3
gorro de lana,2
pasaje bus pelchuquin valdivia,5
compra electrónica microchip,6
alledryl jarabe 120 ml,4
cicatricure crema cicatrizante,4
bebida vegetal orasi,0
servilletas abolengo 8 paquetes,3
chocolate en caja de lata,0
cigarrillos 20 unid,1
diferencia pasaje aéreo,5
lavaloza quix antibacterial,3
válvula iac ralenti para control de aire,5
medallón pavo,0
consulta control reumatologia adulto,4
remedios ibuprofeno caja,4
aciclovir reduce dolor y cicatriza,4
leche líquida semidescremada en caja,0
posta negra vacuno cat v,0
sopa costina polvo para preparar,0
jabón popeye hipoalergenico,3
cortigrip comprimidos tabletas antigripal,4
galletas champán dulce,0
calienta cama 12 plaza,3
recarga celular movistar prepago,6
camisas manga larga de franela varón,2
taxi al supermercado,5
rollos toalla papel ultra,3
pasajes avión idavuelta,5
amoxicilina 500 mg,4
pasaje pvq sclccp ccpsclpuq,5
carreras taxi paradero ida y vuelta,5
gas combustible auto,5
molde pre pizza,3
medicamento hemeopatico,4
pisco capel doble destilado,1
caja multiuso plástica,3
mister músculo limpia vidrios,3
poett limpiador,3
sillas basili 129000 pesos cu ecocuero y metal,3
polera manga corta hombre,2
arriendo en automóvil,5
bolsa cebollin 3 und,0
rollo de plástico alusa film 20 mt,3
vestido de niña 13 años,2
spaghetti seco envasado n°5,0
frasco plástico,3
eno remedio,4
ropa de bebe 8peluches,2
cajas de carne maggi sobre caldo,0
trutro entero de pollo a granel,0
toalla cocina absorbente,3
cocina encimera a gas,3
pasaje colectivo posta urgencia,5
comedor de madera con 6 sillas,3
celular motorola smartphone,6
spray lisoform,3
desinfectante ambientl 360 cc cu,3
noches hospitalizacion,4
aosept solución para lentes de contacto,4
beterraga cocida,0
jamón planchado cerdo,0
parka sin manga hombre,2
polera deportiva varón,2
prietas granel,0
oculista ajuste lentes,4
paños de cocina hecho en india,3
pasaje en tren salón,5
antiácido disfruta,4
petróleo carga combustible,5
parto pack pabellón hospitalizacion honorarios medicos examenes,4
pizza pepper,0
botas de agua de mujer,2
caluga maggi de verduras,0
granadas fruta,0
rcarga tarjeta bip,5
queso parmesano rallado en bolsa,0
barras de cereal,0
1 frasco lubriderm crema dermatológica,4
brochas y rodillos,3
ciclobenzapina para dormir,4
lavaplatos completo,3
cerrojo para puerta,3
10 caja cigarrillos,1
insectivida casa,3
chuleta de vacuno,0
leche progress gold etapa 3,0
camiseta polar hombre,2
paracetamol analgésico,4
fideos secos 400 gr cu,0
gasolina diesel petróleo,5
cortés carne de vacuno bistec,0
migranol para el dolor de cabeza,4
teléfono prepago juana,6
lisoform desinfectante spray,3
jamón de pechuga de ave,0
limpiador cif cloro gel,3
aciclovir medicamento,4
par de zapatos escolares,2
omo matic detergente ropa,3
pasajes a angol,5
zapatillas casuales hombre,2
caja clotrimazol,4
cama 2 plazas c 2 veladores colchón,3
cocina de 4 platos a gas válvula de gas con manguera,3
candado sofer sa40sk,3
servilletas pack,3
yogurt en bolsa sin lactosa,0
accesorio vehículo,5
cajas de antibiótico,4
recarga celular prepago giancarlo,6
taburete,3
perfil bioquímico examen de sangre,4
ollas de acero inoxidable,3
cigarros lucky morado,1
atención particular urologo,4
pijama algodón mujer,2
toalla papel absorvente,3
carretillas de hilo 700 cu,2
pack cervezas 6 und,1
chocolate con maní,0
caja papel de aluminio cocina,3
betún pasta café para zapatos,3
pasaje interurbano conce quibico,5
vaso shopero,3
polera ed física hombre,2
vino chicha,1
2 bebidas express coca cola,0
par de lentes de contactos,4
ilegible helix jarabe,4
amoxicilina 500 mg antibiótico,4
raid casa y jardín 313 grs,3
pastillas hallowen,0
camisas de dormir,2
ensaladas surtidas envasadas,0
cojín de niño relleno,3
automóvil station wagon,5
transfer iquique a pozo almonte,5
bolsas multiuso bk 100 und,3
leche corpole líquido,0
pasajes los angeles interprovincial,5
pantufla dama,2
miami pasaje aéreo,5
yoghurt granola mango,0
chocolate envasados,0
néctar andina damasco,0
mantención 90 kilometros,5
polera de hombre algodón,2
arreglo de pantalón mujer,2
grupo sanguíneo,4
corbata colegio hombre,2
dulces guaguitas bolsa,0
