content,polarity
"@myendlesshazza a. que puto mal escribo b. me sigo surrando help 3. ha quedado raro el ""cómetelo"" ahí JAJAJAJA",N
Quiero mogollón a @AlbaBenito99 pero sobretodo por lo rápido que contesta a los wasaps ,P
Vale he visto la tia bebiendose su regla y me hs dado muchs grima ,N
@Yulian_Poe @guillermoterry1 Ah. mucho más por supuesto! solo que lo incluyo. Me habías entendido mal ,P
@toNi_end seria mejor que dejasen de emitir esa basura ya  hay que evolucionar para bien y eso,N
"@jonoro96 te mandaria a comprarte un burro, pero no creo que hayan tiendas abiertas ahora ",N
@hywzz la voz de María al final me mata JAJAJSJAJAJAJ quilla y yo que ,N
@mendescodes @heroinseb enserio cuando habéis dicho que los froot loops están malos me ha dolido... ,N
Oye @luciaskaa te pones a hablar con @josecs02 como en los viejos tiempos y no avisas  @JuanAlfonso251 @CrisDazGar,N
"@JCLilGangster yo tengo que aguantar 4 niños pequeños, no sé que es peor ",N
"Es muy raro el sentimiento que tengo ahora, aunque en fin... Qué más dará ",NEU
"@xZ4dry @xSLGY Tienes pinta buena gente por lo q veo, t he conocio gracias a qt ",P
@AlbGarD Oh  ¿Me estás llamando gordo? JAJAJA Grazie ruliño  Lo mismo puedo decir ,N
@seestrena #seestrenasietevidas Sería un gato tipo Garfield porqué soy un poco vago y porqué me encanta la lasaña!! ,P
@prxttytimebomb @emimartinez_98 Si es que odio a muerte a la nueva Harley que quieres ,N
"@joseche_jagg @adsuara +10000, cremos una agencia de contratación de temporales, a ver cómo se vende a los sindicatos ",NONE
.@soyalt_es estaremos atentas a las novedades futuras. ¡El final del verano no será igual sin vosotros! ,N
"Confirmao tengo el pie roto, he notado como el puto hueso se movía ",N
@cobos_rebeca A ti por responder! Espero y deseo que te salgan nuevos proyectos!! Besitos!! ,P
@PUUNISSHER @KingKongJulen @xCoorsa @Yuniiiiitoo @YouTube oye corsa  que yo no he jugado contra puni en lan,NONE
"@Jordicanal64 Pues si no fichan ""lo que sea"" además de un ridículo espantoso igual QSF nos deja plantados...esperemos que no   ",N
@virsnroses cuando estén los 20 contactados y aprobados se publicará el listado en nuestra web ,NONE
"@edu_rnieves Te la recomiendo, parece monótona pero hay capítulos que vuelven a subir el interés ",P
Ya no tengo capítulos de Juego de Tronos para ver. Me siento vacía. ,N
@futbolero93 solo recuerda que Iman es tranquila ,P
"@AlteaLaSueca en el debate que he estado leyendo, en el blog de Silvio @citaconsilvio lo pone el gran @feliuvicente citando al Che. ",NONE
"comprendo que te molen mis tattoos, pero no te los hagas 'iguales' ",NEU
@_betterton @juanrallo para cometer atentados terroristas (2) No creo que entonces existiera el burkini ,NONE
@morbosaborealis jajajaja... eso es verdad... aquí no hay uno cuerdo ,N
@xqwcrp @xoancarV Un lapsus advertido gracias a @Cascarelo y subsanado. Gracias por tu aportación. ,P
@IvnLz el resto puedo dudar pero de ese grupo lo tengo claro ,NEU
@Pirata__Roberts hay gente muy buena trabajando duro en @SpheraSports. Palabras así impulsan  @Eliperezup,P
@Adriansoler espero y deseo que el interior te cause lo mismo ,NEU
"@FaranduleroYo Pues espero que no lo digas por mi niña o no voto mas  memeo, bueno cada uno tendra su opinion +",N
@Tabernita @ptraciogg pregunta seria.  para cuando kedada/cañas de gente twittera de la zona? ,NONE
"@GarbiMuguruza Yo cuando pueda quiero tener el Omega Constellation,, con los numéricos romanos. ",P
@feralcazar_ es grasioso porque en vez de aspirar a ser alcalde aspiras a concejal... ,N
Hoy quiero hacer otro juego de estos de tw pero esque son todos iguales ,N
"@Eleder_ Que tampoco ahora mayoría absoluta, eh? ",NONE
Por desgracia el sorteo que tenía pensado hacer es sólo para gente de Europa  Ya haré más sorteos para todo el mundo!,N
Yo Me cago En los muertos De todas Las bacterias malignas De mi Garganta.,N
@reyminguela20 la próxima vez que vaya a Madrid no estarás en mis planes. Maldita ,N
@flyfap no había parada pero he visto una rotonda mu bonica en la que ponía Nules ,P
"@hayar_96 abandoné mi tierra y llegué justo ayer a España, estoy sensible, te odio ",N
"Ahora que estoy en Madrid casi no puedo hacer fotos chachis, solo a mi careto y no ",N
@Eduardo_Pers Ps que las exterminen. Por mi salud mental  (y pa que pueda dejar de hacer el ridículo por la calle jajajaj),N
"@Kosto_Trading @juanrallo Lo de prohibir el casco e ir enmascarado también es arbitrario y sectario, no? ",N
@lirondos Ya lo tenía fichado y tengo ganas de darle uso  ¡¡Gracias!! ,P
@radioskylab_es ¡Pero explicar a fondo las zonas habitables y que condiciones necesita un planeta para serlo! ,NONE
"@LibrosdeMaria no sé si hubo más gente, pero ayer te tagueé yo  ayy, Hannibal es que moooooola tanto!",P
#Otegi inhabilitado #EsLaSentencia Mujeres tapadas hasta los ojos #EsSuCultura Teneis un sentido inamovible del mundo y de la vida.,N
"@santicid ay, gracias. Lo malo es que ese es solo para primer viaje. Pero mil gracias igualmente ",P
"Madrid está lleno de comida y crushes, no me llevéis de aquí ",N
@albueto @ferderer2 @TipsterApuesta los reyes magos son mas reales que este ,N
"Es worth para coger el bonus, pero es mucho más divertido luchar ",NEU
@iwanancho quiero un Linoone con Tambor y Velocidad Extrema pero es de esos especiales de generaciones pasadas que ya no se puede ,N
"@Tidxs_ 27. Parece que las cosas no te van muy bien, espero que todo mejore, que todo el mundo merece ser feliz ",NEU
@MatiDiazWarrior @severinoiezzi @Maxisanchez06... ¡¡Nos sumamos a la felicitación a un grande!! ,P
"@David_Goen00 venga jimbre, lo que debes haver es hacerte cadista ",NEU
Dio tener un perro es la ilusión de mi puta vida ,P
@RoyalDarjeeling Muy mal!!! jajaja mas Geralt de rivia y menos juego de tronos ,N
Por qué me gusta más tu personalidad que cualquier espalda ancha ,P
@SergioSmiles Mirate D gray-man desde cero puta ,N
"@BerothW Por supuesto, en el Mercadona. Hombre, encima que soy crush de alguien ",NEU
hay alguien apuntando a mi ventana con un laser define pesadito ,N
No entiendo de verdad porque la gente cree que en realidad me la suda ,N
"Llevo como una hora repitiendo ""No debí haber bebido ese último Monster"" teniendo que madrugar Mi vida.",N
"@BrujadelTuiters . Estas palabras, del Poema, INSTANTES, son de Nadine Stair. Escritora norteamericana, a la q le gustan los helados.  ",NEU
"@unculemadrid si al final acabamos hablando un rato, era muy simpática  @jovigobi",P
